"Refs","Value","Footprint","Manufacturer","MPN","Distributor link","Unit price USD (DigiKey qty 1)","Description"
"TP3","TP3 +12V","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +12V regulated"
"TP4","TP4 ZC","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point ZC"
"TP5","TP5 GND","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point GND"
"TP6","TP6 +50V","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +50V"
"TP7","TP7 +20V","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +20V"
"TP8","TP8 +18V","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +18V"
"TP9","TP9 +5V_RAW","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +5V raw (buck input)"
"U1-U5,U18","74HCT574","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","Nexperia","74HCT574D,653","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT574D-653/763412","","G.I. / relay latch,Lamp column latch,Solenoid 1-8 latch,Solenoid 17-24 latch,Solenoid 25-28 latch,Solenoid 9-16 latch"
"U6,U15,U16","LM339DR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Texas Instruments","LM339DR","https://www.digikey.com/en/products/detail/texas-instruments/LM339DR/276657","0.29","Quad comparator, SOIC-14"
"U9","74HCT240","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","Nexperia","74HCT240D,653","https://www.digikey.com/en/products/result?keywords=74HCT240D%2C653","","J113 data-bus inverter: the CPU board drives the ribbon data through a 74LS240 (active low)"
"U10-U13","74HCT74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Texas Instruments","SN74HCT74DR","https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT74DR/276479","","Dual D flip-flop with preset/clear, SOIC-14"
"U19","TBD62083AFWG","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","Toshiba","TBD62083AFWG,EL","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TBD62083AFWG-EL/5514124","","8-ch DMOS sink driver (ULN2803 pin-compatible), SOIC-18W"
"U20,U21","TPS54360BDDAR","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm","Texas Instruments","TPS54360BDDAR","https://www.digikey.com/en/products/detail/texas-instruments/TPS54360BDDAR/10434703","4.52","+12.0 V 2 A buck converter,+5.1 V 3 A buck converter"
"W1","0R","Resistor_SMD:R_2512_6332Metric","Yageo","RC2512JK-070RL","https://www.digikey.com/en/products/result?keywords=RC2512JK-070RL","","0 R link 2512: G.I. return bus (triac MT1 / J115 returns) to the logic ground reference (OEM: J115-1 GND REF at the transformer)"
